sessionId,speakerId
cmffpi18o00e93z7gyvteg7uu,cmffpi0fr00613z7gz9d3wfp7
cmffpi18s00ea3z7go21dfabj,cmffpi0ar00203z7gse09rnl8
cmffpi18t00eb3z7g7a5tio63,cmffpi0fs00633z7gia6wsorh
cmffpi18x00ee3z7gx1rodsop,cmffpi0fu00663z7gqlxegblv
cmffpi18x00ee3z7gx1rodsop,cmffpi0fv00673z7gzhyfa57n
cmffpi18z00ef3z7gtigzaayl,cmffpi0fw00683z7gtqwvay9n
cmffpi18z00ef3z7gtigzaayl,cmffpi0fw00693z7gxmvio3qb
cmffpi19f00em3z7goqoyvtg9,cmffpi0fy006c3z7gnh2ypl5j
cmffpi19n00en3z7gudh6bw3v,cmffpi0fz006e3z7gnsixjtii
cmffpi19q00ep3z7gbp8gnhnc,cmffpi0g2006h3z7gw2v4hu37
cmffpi19q00ep3z7gbp8gnhnc,cmffpi0g3006i3z7gn46wkydx
cmffpi19s00eq3z7gfejgr7ax,cmffpi0g4006j3z7gu5xr9226
cmffpi19s00eq3z7gfejgr7ax,cmffpi0g7006k3z7gmrqpgcpp
cmffpi19w00er3z7gfsftcbkx,cmffpi0g9006l3z7gm8wh9bs7
cmffpi19w00er3z7gfsftcbkx,cmffpi0ga006m3z7g4cva23qi
cmffpi19y00es3z7gp0ievgyz,cmffpi0gc006n3z7g8d9ezwtj
cmffpi1a100et3z7g3jou459w,cmffpi0gd006o3z7gd9i4kzag
cmffpi1a300ev3z7grqb6lmuc,cmffpi0gf006q3z7g2y0zicdz
cmffpi1aa00ez3z7g98v966qb,cmffpi0go006t3z7gy5kog0v5
cmffpi1ac00f03z7gxdcl432k,cmffpi0gq006u3z7gxanayumj
cmffpi1ac00f03z7gxdcl432k,cmffpi0gr006v3z7gm5256qjc
cmffpi1aj00f13z7gdo44moip,cmffpi0gs006w3z7gm561l9j2
cmffpi1aj00f13z7gdo44moip,cmffpi0gs006x3z7gn4sms4dl
cmffpi1am00f23z7gh3nd1ick,cmffpi0gt006z3z7gr7j9snfk
cmffpi1ao00f33z7g4wub8pjv,cmffpi0ar00203z7gse09rnl8
cmffpi1as00f63z7gpogn0x23,cmffpi0gv00723z7g1mwxcxq6
cmffpi1as00f63z7gpogn0x23,cmffpi0gw00733z7gqp5x2c4v
cmffpi1aw00f93z7gmqlm4wec,cmffpi0gx00753z7g0k8aiqh3
cmffpi1az00fb3z7g73rp2jwl,cmffpi0gy00763z7g7qtgcwhg
